TYPE LAT LON H FREQ A ICAO NAME
T 46.625 -80.7989 1140 233.8 50 CYSB "Sudbury"
T 43.1731 -79.935 780 119.7 50 CYHM "Hamilton"
T 43.1731 -79.935 780 125 50 CYHM "Hamilton"
T 43.1731 -79.935 780 308.475 50 CYHM "Hamilton"
T 53.3097 -113.58 2373 118.3 50 CYEG "Edmonton"
T 53.3097 -113.58 2373 381.2 50 CYEG "Edmonton"
T 53.3097 -113.58 2373 126 50 CYEG "Edmonton"
T 51.1031 -114.374 3937 118.2 50 CYBW "Calgary Springbank"
T 51.1031 -114.374 3937 120.7 50 CYBW "Calgary Springbank"
T 42.2756 -82.9556 622 124.7 50 CYQG "Windsor"
T 42.2756 -82.9556 622 236.6 50 CYQG "Windsor"
T 54.405 -110.279 1775 126.2 50 CYOD "Cold Lake"
T 54.405 -110.279 1775 226.5 50 CYOD "Cold Lake"
T 54.405 -110.279 1775 236.6 50 CYOD "Cold Lake"
T 54.405 -110.279 1775 255.7 50 CYOD "Cold Lake"
T 46.485 -84.5094 630 118.8 50 CYAM "Sault Ste Marie"
T 46.485 -84.5094 630 236.6 50 CYAM "Sault Ste Marie"
T 43.6772 -79.6306 569 118.35 50 CYYZ "Lester B Pearson"
T 43.6772 -79.6306 569 118.7 50 CYYZ "Lester B Pearson"
T 43.6772 -79.6306 569 236.6 50 CYYZ "Lester B Pearson"
T 49.0728 -123.007 5 118.1 50 CZBB "Boundary Bay"
T 49.0728 -123.007 5 127.6 50 CZBB "Boundary Bay"
T 52.1708 -106.7 1653 118.3 50 CYXE "Saskatoon J G Diefenbaker"
T 52.1708 -106.7 1653 244.7 50 CYXE "Saskatoon J G Diefenbaker"
T 48.9369 -54.5681 496 118.1 50 CYQX "Gander"
T 48.9369 -54.5681 496 236.6 50 CYQX "Gander"
T 48.5208 -71.0506 543 118.4 50 CYRC "St Honore"
T 48.5208 -71.0506 543 237.4 50 CYRC "St Honore"
T 50.3303 -105.559 1892 126.2 50 CYMJ "Moose Jaw"
T 50.3303 -105.559 1892 295.6 50 CYMJ "Moose Jaw"
T 50.3303 -105.559 1892 310.8 50 CYMJ "Moose Jaw"
T 60.7094 -135.068 2317 118.3 50 CYXY "Whitehorse"
T 60.7094 -135.068 2317 236.6 50 CYXY "Whitehorse"
T 48.3719 -89.3239 653 118.1 50 CYQT "Thunder Bay"
T 48.3719 -89.3239 653 236.6 50 CYQT "Thunder Bay"
T 43.6275 -79.3961 251 118.2 50 CYTZ "City Centre"
T 43.6275 -79.3961 251 119.2 50 CYTZ "City Centre"
T 43.6275 -79.3961 251 226.5 50 CYTZ "City Centre"
T 47.6186 -52.7519 461 120.6 50 CYYT "St Johns"
T 47.6186 -52.7519 461 236.6 50 CYYT "St Johns"
T 53.3192 -60.4258 160 119.1 50 CYYR "Goose Bay"
T 53.3192 -60.4258 160 236.6 50 CYYR "Goose Bay"
T 49.91 -97.2344 783 118.3 50 CYWG "Winnipeg"
T 49.91 -97.2344 783 236.6 50 CYWG "Winnipeg"
T 49.91 -97.2344 783 125.4 50 CYWG "Winnipeg"
T 49.91 -97.2344 783 325.9 50 CYWG "Winnipeg"
T 45.3225 -75.6692 374 118.8 50 CYOW "Ottawa Macdonald Cartier"
